Simulation parameters;;;;NR;;k_off tau;;n_average;;Coverage;;NR_free
N_arms;;12;;;;;;;;;;
k_off;;1;;100;;1.37008;;1;;1.69E-06;;0.97
k_on_surface;;1.00E-05;;126.638;;1.32754;;1;;2.01E-06;;0.992103
k_on_solution;;1.00E-10;;160.372;;0.241367;;1;;2.41E-06;;0.993764
;;;;203.092;;3.01443;;1;;2.93E-06;;0.975381
;;;;257.191;;0.371869;;1;;3.60E-06;;0.972783
;;;;325.702;;1.28951;;1.16667;;4.44E-06;;0.978508
;;;;412.463;;0.723732;;1;;5.52E-06;;0.987878
;;;;522.335;;0.530569;;1;;6.89E-06;;0.98277
;;;;661.474;;0.502555;;1;;8.59E-06;;0.98337
;;;;837.678;;0.790071;;1.1;;1.08E-05;;0.986868
;;;;1060.82;;1.14871;;1.10526;;1.38E-05;;0.980204
;;;;1343.4;;1.06033;;1.08696;;1.77E-05;;0.98139
;;;;1701.25;;0.68757;;1.0625;;2.27E-05;;0.990007
;;;;2154.43;;1.64581;;1.12121;;2.91E-05;;0.982826
;;;;2728.33;;1.81272;;1.27027;;3.75E-05;;0.982773
;;;;3455.11;;1.27076;;1.32653;;4.99E-05;;0.981187
;;;;4375.48;;1.12991;;1.23881;;6.64E-05;;0.981031
;;;;5541.02;;1.56867;;1.375;;8.90E-05;;0.978163
;;;;7017.04;;1.86376;;1.416;;0.00012183;;0.974776
;;;;8886.24;;1.93751;;1.47904;;0.000171192;;0.972204
;;;;11253.4;;2.20377;;1.64822;;0.000247249;;0.962944
;;;;14251;;2.44166;;1.91193;;0.000359247;;0.952775
;;;;18047.2;;2.89883;;2.11131;;0.000551909;;0.93589
;;;;22854.6;;4.96442;;2.32907;;0.000869712;;0.912359
;;;;28942.7;;6.55242;;2.62338;;0.00138738;;0.874372
;;;;36652.4;;7.87176;;2.90893;;0.00227922;;0.819603
;;;;46415.9;;11.0302;;3.18398;;0.003592;;0.755041
;;;;58780.2;;14.581;;3.44828;;0.00545219;;0.678463
;;;;74438;;18.996;;3.7304;;0.00811317;;0.590868
;;;;94266.8;;24.8888;;3.96258;;0.0115294;;0.514654
;;;;119378;;32.7655;;4.17675;;0.0159884;;0.439987
;;;;151178;;39.561;;4.38518;;0.0215826;;0.37412
;;;;191448;;48.8228;;4.55904;;0.0286563;;0.317507
;;;;242446;;59.44;;4.71775;;0.0377642;;0.265346
;;;;307029;;74.498;;4.87598;;0.0489073;;0.223109
;;;;388816;;89.3266;;5.02192;;0.0630282;;0.185676
;;;;492388;;111.281;;5.18702;;0.0802264;;0.154761
;;;;623551;;135.701;;5.33999;;0.101725;;0.128963
;;;;789652;;166.296;;5.48422;;0.128633;;0.106546
;;;;1.00E+06;;201.963;;5.62761;;0.162027;;0.088198
