Simulation parameters;;;;NR;;k_off tau;;n_average;;Coverage;;NR_free;;
N_arms;;6;;;;;;;;;;;;
k_off;;1;;100;;0.631264;;1;;3.78E-05;;0.67;;
k_on_surface;;1.00E-04;;126.638;;0.707088;;1.02381;;4.80E-05;;0.66045;;
k_on_solution;;1.00E-08;;160.372;;0.781789;;1.03279;;6.07E-05;;0.607163;;
;;;;203.092;;0.959582;;1;;7.69E-05;;0.611013;;
;;;;257.191;;1.01537;;1.06316;;9.73E-05;;0.607296;;
;;;;325.702;;0.949679;;1.03252;;0.00012415;;0.610073;;
;;;;412.463;;0.921153;;1.03012;;0.00015775;;0.585417;;
;;;;522.335;;0.864422;;1.06771;;0.000199487;;0.607531;;
;;;;661.474;;1.22162;;1.09664;;0.000253806;;0.605427;;
;;;;837.678;;1.14681;;1.1155;;0.000322891;;0.561884;;
;;;;1060.82;;1.19943;;1.14615;;0.00041;;0.578627;;
;;;;1343.4;;1.36682;;1.18199;;0.000524492;;0.540717;;
;;;;1701.25;;1.21402;;1.24049;;0.000666189;;0.520942;;
;;;;2154.43;;1.35595;;1.26697;;0.000843697;;0.488961;;
;;;;2728.33;;1.5573;;1.31569;;0.00107411;;0.480635;;
;;;;3455.11;;1.58075;;1.40813;;0.00136979;;0.438802;;
;;;;4375.48;;1.75281;;1.44248;;0.00174157;;0.441204;;
;;;;5541.02;;2.04997;;1.54111;;0.00219348;;0.394516;;
;;;;7017.04;;2.12809;;1.61432;;0.00278404;;0.367112;;
;;;;8886.24;;2.54987;;1.70572;;0.00349994;;0.318384;;
;;;;11253.4;;2.77014;;1.81919;;0.00441638;;0.287413;;
;;;;14251;;3.03611;;1.91209;;0.00553436;;0.264334;;
;;;;18047.2;;3.4473;;2.00885;;0.00690322;;0.232957;;
;;;;22854.6;;4.0587;;2.11156;;0.00865749;;0.20165;;
;;;;28942.7;;4.42635;;2.21469;;0.010771;;0.172744;;
;;;;36652.4;;5.06589;;2.32502;;0.013418;;0.152962;;
;;;;46415.9;;5.7372;;2.43725;;0.0164792;;0.135124;;
;;;;58780.2;;6.4086;;2.54214;;0.0205465;;0.11579;;
;;;;74438;;7.32989;;2.63473;;0.0254678;;0.0973566;;
;;;;94266.8;;8.4872;;2.73861;;0.0314897;;0.0845244;;
;;;;119378;;9.65624;;2.84179;;0.0389549;;0.0723893;;
;;;;151178;;11.3022;;2.95418;;0.0480615;;0.0613815;;
;;;;191448;;12.7678;;3.04744;;0.0594575;;0.053206;;
;;;;242446;;14.7917;;3.16414;;0.0732857;;0.0445427;;
;;;;307029;;17.3762;;3.25279;;0.0908252;;0.0376481;;
;;;;388816;;20.1799;;3.35977;;0.11207;;0.0318931;;
;;;;492388;;23.706;;3.46461;;0.138191;;0.0276413;;
;;;;623551;;27.9928;;3.5599;;0.171112;;0.0232166;;
;;;;789652;;33.5274;;3.65475;;0.211823;;0.0195685;;
;;;;1.00E+06;;40.5141;;3.76329;;0.261274;;0.016716;;
