Simulation parameters;;;;NR;;k_off tau;;n_average;;Coverage;;NR_free
N_arms;;12;;;;;;;;;;
k_off;;100;;100;;0.825242;;1.01852;;5.43E-05;;0.45
k_on_surface;;1.00E-02;;126.638;;0.863548;;1.06349;;6.88E-05;;0.470933
k_on_solution;;1.00E-06;;160.372;;1.13268;;1.0625;;8.72E-05;;0.469982
;;;;203.092;;1.21567;;1.04545;;0.000110021;;0.433753
;;;;257.191;;1.14133;;1.0292;;0.000139504;;0.45177
;;;;325.702;;0.881711;;1.07179;;0.000176098;;0.358309
;;;;412.463;;1.11509;;1.07306;;0.000222277;;0.430251
;;;;522.335;;1.28448;;1.15139;;0.000281302;;0.446715
;;;;661.474;;1.21052;;1.16519;;0.000353159;;0.402849
;;;;837.678;;1.54012;;1.17528;;0.000447039;;0.375655
;;;;1060.82;;1.3038;;1.203;;0.000560638;;0.318451
;;;;1343.4;;1.5139;;1.23968;;0.000706408;;0.306982
;;;;1701.25;;1.49116;;1.29314;;0.000883849;;0.31286
;;;;2154.43;;1.77657;;1.37489;;0.00110534;;0.298656
;;;;2728.33;;1.75026;;1.44378;;0.00137841;;0.28931
;;;;3455.11;;1.97292;;1.51988;;0.00171492;;0.24778
;;;;4375.48;;2.14183;;1.59026;;0.00211808;;0.230941
;;;;5541.02;;2.33305;;1.69534;;0.0026101;;0.199606
;;;;7017.04;;2.44661;;1.76823;;0.00322866;;0.187834
;;;;8886.24;;2.91572;;1.87024;;0.00396606;;0.159824
;;;;11253.4;;3.41439;;1.98728;;0.0048957;;0.139101
;;;;14251;;3.6086;;2.09697;;0.00594288;;0.124484
;;;;18047.2;;4.1212;;2.22616;;0.00725707;;0.108782
;;;;22854.6;;4.49052;;2.32188;;0.00890676;;0.092263
;;;;28942.7;;5.24849;;2.45791;;0.0109267;;0.0788338
;;;;36652.4;;5.91347;;2.56244;;0.0133688;;0.0673738
;;;;46415.9;;6.72164;;2.70569;;0.0161489;;0.0570039
;;;;58780.2;;7.58618;;2.8358;;0.0196864;;0.0494922
;;;;74438;;8.6471;;2.95971;;0.0240452;;0.0417667
;;;;94266.8;;9.94832;;3.07021;;0.029575;;0.0347083
;;;;119378;;11.3986;;3.22817;;0.0358601;;0.0302876
;;;;151178;;13.0425;;3.36008;;0.043828;;0.0248748
;;;;191448;;15.0809;;3.50593;;0.0534776;;0.020675
;;;;242446;;17.1983;;3.64837;;0.0653135;;0.0176254
;;;;307029;;19.9088;;3.78195;;0.0799655;;0.014963
;;;;388816;;23.5909;;3.92169;;0.0979341;;0.0121639
;;;;492388;;27.6907;;4.07291;;0.119615;;0.0103927
;;;;623551;;32.8529;;4.21813;;0.146556;;0.00856022
;;;;789652;;38.6336;;4.37128;;0.179315;;0.00713262
;;;;1.00E+06;;46.6587;;4.52742;;0.219487;;0.006118
