P;R;P1;P2;P3;P4;P5;P6
16999.94;99.78;0.01;0.01;0.02;0.0;0.02;0.0
16997.04;199.8;0.04;0.07;0.18;0.39;0.74;1.54
16982.0;363.06;0.03;0.1;0.31;1.05;3.48;13.03
16937.16;636.14;0.03;0.07;0.3;1.52;8.8;52.12
16848.3;1258.66;0.02;0.02;0.1;1.14;12.14;138.29
16637.12;2482.08;0.02;0.02;0.05;0.79;15.46;346.54
16289.2;5749.05;0.02;0.02;0.01;0.29;13.09;697.38
15461.98;12330.45;0.01;0.02;0.02;0.14;14.11;1523.73
13833.02;27427.19;0.01;0.01;0.02;0.07;12.8;3154.08
10871.0;63236.42;0.01;0.02;0.01;0.04;10.22;6118.71
